orderID,customerID,purchaseDate,customerEmail,deliveryMethod,productName,productSKU,productQuantity,productUnitPrice,productSalePrice,productSubTotalAmount
Ste11063152364,Cu1,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Verto Approach,1050112AFIAAR,2,120.00,108.00,240.00
Ste1106315236,Cu00001,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Women's Discovery 2 Jacket,2010175AVVACC,1,99.00,99.00,99.00
Ste1106315234,Cu0022,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Climber Mid,1050632BE3AAN,3,110.00,99.00,330.00
Ste1106315234,Cu01,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Boys' Resolve Reflective Jacket,3010498AC8AEO,1,70.00,63.00,70.00
Ste198235464,Cu001,3/10/2022,r.morris.52881@gmail.com,In-Store Pickup,Toddler Pill Hoodie,3010499A8OACT,4,99.00,89.10,396.00
Ste110631364,Cu1,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Verto Approach,1050112AFIAA,2,120.00,108.00,240.00
Ste110631364,Cu00001,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Women's Discovery 2 Jacket,2010175AVVAC,1,99.00,99.00,99.00
Ste110632364,Cu0022,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Climber Mid,1050632BE3AA,3,110.00,99.00,330.00
Ste110652364,Cu01,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Boys' Resolve Reflective Jacket,3010498AC8AE,1,70.00,63.00,70.00
Ste198547364,Cu001,3/10/2022,r.morris.52881@gmail.com,In-Store Pickup,Toddler Pill Hoodie,3010499A8OAC,4,99.00,89.10,396.00
Ste110631523,Cu21,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Verto Approach,1050112AFIA,2,120.00,108.00,240.00
Ste110631523,Cu20001,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Women's Discovery 2 Jacket,2010175AVVA,1,99.00,99.00,99.00
Ste110631523,Cu2022,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Climber Mid,1050632BE3A,3,110.00,99.00,330.00
Ste110631523,Cu201,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Boys' Resolve Reflective Jacket,3010498AC8A,1,70.00,63.00,70.00
Ste19823546,Cu2001,3/10/2022,r.morris.52881@gmail.com,In-Store Pickup,Toddler Pill Hoodie,3010499A8OA,4,99.00,89.10,396.00
Ste1106314,Cu21,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Verto Approach,1050112AFI,2,120.00,108.00,240.00
Ste1106364,Cu200001,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Women's Discovery 2 Jacket,2010175AVV,1,99.00,99.00,99.00
Ste11063264,Cu20022,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Climber Mid,1050632BE3,3,110.00,99.00,330.00
Ste11065264,Cu201,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Boys' Resolve Reflective Jacket,3010498AC8,1,70.00,63.00,70.00
Ste19847364,Cu2001,3/10/2022,r.morris.52881@gmail.com,In-Store Pickup,Toddler Pill Hoodie,3010499A8O,4,99.00,89.10,396.00
Ste11063152,Cu21,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Verto Approach,1050112AFI,2,120.00,108.00,240.00
Ste11063153,Cu20001,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Women's Discovery 2 Jacket,2010175AVV,1,99.00,99.00,99.00
Ste11063123,Cu2022,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Climber Mid,1050632BE3,3,110.00,99.00,330.00
Ste11063523,Cu201,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Boys' Resolve Reflective Jacket,3010498AC8,1,70.00,63.00,70.00
Ste1982546,Cu2001,3/10/2022,r.morris.52881@gmail.com,In-Store Pickup,Toddler Pill Hoodie,3010499A8O,4,99.00,89.10,396.00
Ste1163148,Cu21,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Verto Approach,1050112AF,2,120.00,108.00,240.00
Ste106364,Cu200001,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Women's Discovery 2 Jacket,2010175AV,1,99.00,99.00,99.00
Ste110632,Cu20022,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Climber Mid,1050632BE,3,110.00,99.00,330.00
Ste110664,Cu201,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Boys' Resolve Reflective Jacket,3010498AC,1,70.00,63.00,70.00
Ste198464,Cu2001,3/10/2022,r.morris.52881@gmail.com,In-Store Pickup,Toddler Pill Hoodie,3010499A8,4,99.00,89.10,396.00
Ste911063152,Cu921,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Verto Approach,1050112AF,2,120.00,108.00,240.00
Ste911063153,Cu920001,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Women's Discovery 2 Jacket,2010175AV,1,99.00,99.00,99.00
Ste911063123,Cu92022,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Climber Mid,1050632BE,3,110.00,99.00,330.00
Ste911063523,Cu9201,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Boys' Resolve Reflective Jacket,3010498AC,1,70.00,63.00,70.00
Ste91982546,Cu92001,3/10/2022,r.morris.52881@gmail.com,In-Store Pickup,Toddler Pill Hoodie,3010499A8,4,99.00,89.10,396.00
Ste91163148,Cu921,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Verto Approach,1050112A,2,120.00,108.00,240.00
Ste9106364,Cu9200001,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Women's Discovery 2 Jacket,2010175A,1,99.00,99.00,99.00
Ste9110632,Cu920022,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Climber Mid,1050632B,3,110.00,99.00,330.00
Ste9110664,Cu9201,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Boys' Resolve Reflective Jacket,3010498C,1,70.00,63.00,70.00
Ste9198464,Cu92001,3/10/2022,r.morris.52881@gmail.com,In-Store Pickup,Toddler Pill Hoodie,30104998,4,99.00,89.10,396.00
Ste3911063152,Cu33921,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Verto Approach,1050112A,2,120.00,108.00,240.00
Ste3911063153,Cu3920001,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Women's Discovery 2 Jacket,2010175A,1,99.00,99.00,99.00
Ste3911063123,Cu392022,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Climber Mid,1050632B,3,110.00,99.00,330.00
Ste3911063523,Cu39201,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Boys' Resolve Reflective Jacket,3010498A,1,70.00,63.00,70.00
Ste391982546,Cu92001,3/10/2022,r.morris.52881@gmail.com,In-Store Pickup,Toddler Pill Hoodie,3010499A,4,99.00,89.10,396.00
Ste391163148,Cu33921,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Men's Verto Approach,1050112,2,120.00,108.00,240.00
Ste39106364,Cu9200001,5/12/2022,r.morris.52881@gmail.com,Ship to Home,Women's Discovery 2 Jacket,2010175,1,99.00,99.00,99.00
