orderID,customerID,customerEmail,customerFirstName,customerLastName,purchaseDate,purchaseChannel,billingAddress1,billingAddress2,billingCity,billingState,billingPostalCode,billingCountry,shippingAddress1,shippingAddress2,shippingCity,shippingState,shippingPostalCode,shippingCountry,estimatedDeliveryDate,actualDeliveryDate,numberOfItems,totalAmount,storeID,paymentMethod
Ste1106315236,Cu0001,r.moris.52881@gmail.com,Rachel,Morris,5/12/2022,App,039 Bruen Light,,Indianapolis,IN,46220,US,039 Bruen Light,,Indianapolis,IN,46220,US,5/22/2022,5/28/2022,4,739.00,,Credit Card
Ste1982354734,Cu0201,r.moris.52881@gmail.com,Rachel,Morris,3/10/2022,Website,039 Bruen Light,,Indianapolis,IN,46220,US,039 Bruen Light,,Indianapolis,IN,46220,US,3/17/2022,3/24/2022,2,485.00,,Debit Card
Ste1479025164,Cu0002,r.moris.52881@gmail.com,Rachel,Morris,6/14/2022,Website,039 Bruen Light,,Indianapolis,IN,46220,US,039 Bruen Light,,Indianapolis,IN,46220,US,6/23/2022,6/29/2022,6,1562.00,,Credit Card
Ste1611991964,Cu0002,asmot@hotmail.autonto.com,Andrea,Smoot,3/26/2022,Website,3617 Zemlak Roads,,Kings Mountain,NC,28086,US,3617 Zemlak Roads,,Kings Mountain,NC,28086,US,4/2/2022,4/6/2020,6,1142.95,,Credit Card
Ste1479021466,Cu0044,r.moris.52881@gmail.com,Rachel,Morris,6/14/2022,Website,039 Bruen Light,,Indianapolis,IN,46220,US,039 Bruen Light,,Indianapolis,IN,46220,US,6/23/2022,6/29/2022,6,1562.00,,Credit Card
Ste1106352364,Cu0001,r.moris.52881@gmail.com,Rachel,Morris,5/12/2022,App,039 Bruen Light,,Indianapolis,IN,46220,US,039 Bruen Light,,Indianapolis,IN,46220,US,5/22/2022,5/28/2022,4,739.00,,Credit Card
Ste1982547364,Cu0666,r.moris.52881@gmail.com,Rachel,Morris,3/10/2022,Website,039 Bruen Light,,Indianapolis,IN,46220,US,039 Bruen Light,,Indianapolis,IN,46220,US,3/17/2022,3/24/2022,2,485.00,,Debit Card
Ste1470251464,Cu0111,r.moris.52881@gmail.com,Rachel,Morris,6/14/2022,Website,039 Bruen Light,,Indianapolis,IN,46220,US,039 Bruen Light,,Indianapolis,IN,46220,US,6/23/2022,6/29/2022,6,1562.00,,Credit Card
Ste1619915964,Cu0122,asmoot@hotmail.autonto.com,Andrea,Smoot,3/26/2022,Website,3617 Zemlak Roads,,Kings Mountain,NC,28086,US,3617 Zemlak Roads,,Kings Mountain,NC,28086,US,4/2/2022,4/6/2020,6,1142.95,,Credit Card
Ste1790251466,Cu0111,r.morris.52881@gmail.com,Rachel,Morris,6/14/2022,Website,039 Bruen Light,,Indianapolis,IN,46220,US,039 Bruen Light,,Indianapolis,IN,46220,US,6/23/2022,6/29/2022,6,1562.00,,Credit Card
Ste1063152364,Cu1111,r.moris.52881@gmail.com,Rachel,Morris,5/12/2022,App,039 Bruen Light,,Indianapolis,IN,46220,US,039 Bruen Light,,Indianapolis,IN,46220,US,5/22/2022,5/28/2022,4,739.00,,Credit Card
St19823547364,Cu2222,r.morris.52881@gmail.com,Rachel,Morris,3/10/2022,Website,039 Bruen Light,,Indianapolis,IN,46220,US,039 Bruen Light,,Indianapolis,IN,46220,US,3/17/2022,3/24/2022,2,485.00,,Debit Card
Ste14790251464,Cu333,r.moris.52881@gmail.com,Rachel,Morris,6/14/2022,Website,039 Bruen Light,,Indianapolis,IN,46220,US,039 Bruen Light,,Indianapolis,IN,46220,US,6/23/2022,6/29/2022,6,1562.00,,Credit Card
Ste1611991594,Cu0166,asmoot@hotmail.autonto.com,Andrea,Smoot,3/26/2022,Website,3617 Zemlak Roads,,Kings Mountain,NC,28086,US,3617 Zemlak Roads,,Kings Mountain,NC,28086,US,4/2/2022,4/6/2020,6,1142.95,,Credit Card
